City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
62,San Patricio,28.017,-97.5169,81.01,42,0,10.07,US,2021-10-31 15:34:53
63,Tiksi,71.6872,128.8694,13.44,84,100,12.33,RU,2021-10-31 15:34:53
64,Saiha,22.4833,92.9667,66.61,92,51,2.55,IN,2021-10-31 15:33:04
65,Grand-Santi,4.25,-54.3833,94.64,41,47,2.62,GF,2021-10-31 15:34:54
66,Scottsbluff,41.8666,-103.6672,37.83,93,90,1.99,US,2021-10-31 15:29:54
67,Avarua,-21.2078,-159.775,73.45,73,75,9.22,CK,2021-10-31 15:34:54
68,Bluff,-46.6,168.3333,50.02,70,87,21.5,NZ,2021-10-31 15:34:55
69,Lahaina,20.8783,-156.6825,70.81,85,2,2.98,US,2021-10-31 15:34:55
70,Qaanaaq,77.484,-69.3632,9.36,65,99,10.31,GL,2021-10-31 15:34:56
71,New Norfolk,-42.7826,147.0587,54.91,57,100,8.01,AU,2021-10-31 15:34:56
72,Galle,6.0367,80.217,78.82,87,67,7.54,LK,2021-10-31 15:34:57
73,Muskegon,43.3,-86.1334,52.83,90,40,9.22,US,2021-10-31 15:33:46
74,Constitucion,-35.3333,-72.4167,61.84,70,100,6.24,CL,2021-10-31 15:31:27
75,Diebougou,10.9667,-3.25,98.13,22,71,3.69,BF,2021-10-31 15:34:58
76,Guerrero Negro,27.9769,-114.0611,67.28,75,80,7.31,MX,2021-10-31 15:34:58
77,Bredasdorp,-34.5322,20.0403,65.52,72,99,9.22,ZA,2021-10-31 15:34:14
78,Quatre Cocos,-20.2078,57.7625,75.31,75,59,7.16,MU,2021-10-31 15:34:59
79,Arraial Do Cabo,-22.9661,-42.0278,73.36,88,75,11.5,BR,2021-10-31 15:34:33
80,Coihaique,-45.5752,-72.0662,58.95,33,0,14.97,CL,2021-10-31 15:34:59
81,Thompson,55.7435,-97.8558,30.36,93,75,8.05,CA,2021-10-31 15:30:36
82,Ust-Tsilma,65.441,52.1498,19.04,97,92,4.74,RU,2021-10-31 15:35:00
83,Aklavik,68.2191,-135.0107,30.92,93,40,2.3,CA,2021-10-31 15:35:00
84,Piney Green,34.716,-77.3202,64.02,54,2,9.44,US,2021-10-31 15:35:01
85,Faanui,-16.4833,-151.75,78.26,67,100,14.47,PF,2021-10-31 15:35:01
